fieldName,label,dataType,defaultValue,placeholder,inputHint
customerOperatorNameAndCustomerCode,Customer(Operator) name & Customer code,String,,,
operatorPlmnCode,Operator PLMN code,String,,,
operatorAddress,Operator address,String,,,
discountedPeriod,Discounted period,Date,,,
paymentModeRoaming,Payment mode (Roaming),String,,,
sapDocumentNumber,SAP document number,String,,,
supportingDocumentsInvoice,Supporting documents (Invoice),Attachment/Text,,,DocumentReference
zeroivRequestEmail,ZEROIV request / Email,Attachment/Text,,,Email/ApprovalReference
zeroIvExcelSheet,ZERO IV Excel Sheet,Attachment/Text,,,DocumentReference
userName,User Name,String,,,
gLAcct,G/L Acct,String,,,
documentNo,Document No,String,,,
type,Type,String,,,
docDate,Doc. Date,Date,,,Date
postingDate,Posting Date,Date,,,Date
item,Item,String,,,
amountInLocalCrcy,Amount in Local Crcy,Decimal,,,Amount
amountInDocCurr,Amount in Doc. Curr.,Decimal,,,Amount
text,Text,String,,,
vendor,Vendor,String,,,
excel,Excel,Attachment/Text,,,DocumentReference
approval,Approval,Attachment/Text,,,
ramisSchedule,Ramis schedule,String,,,
similarToPoAdvance,Similar to PO Advance,String,,,
supportingDocumentsInvoicePaymentAcknowledgementMemoFundTransfer,"Supporting documents (Invoice , Payment Acknowledgement , Memo, Fund transfer confirmation)",Attachment/Text,,,DocumentReference
paymentCategoryRentSupRefDep,Payment Category (Rent /Sup:/ Ref Dep),String,,,
tableIncludingSeperateValuesForRentSupervisionRefundable,"Table including seperate values for Rent, Supervision, Refundable deposit and OFN reference",Decimal,,,Amount
wbsElementApplicableForSupervisionCharges,WBS Element (Applicable for supervision charges),String,,,
costCenterApplicableOnlyForRent,Cost Center (Applicable only for rent),String,,,
paymentApprovalMailsUdApprovalShouldBeIncorporated2,"Payment approval mails (UD approval should be incorporated to the WF - Since operational float ownership is with Saleem & Nalin M. , these requests have to be approved by Ruchira Yasarathna)",Attachment/Text,,,Email/ApprovalReference
ctmFormWithApproval,CTM form with approval,Attachment/Text,,,
checkPeridiumReimbursementFormWithApproval,Check Peridium- Reimbursement form with approval,Attachment/Text,,,
